No,Branch Code,Branch Store Name,Province (Khmer),District (English),District (Khmer),Commune (Khmer),NCDD Commune Code,Latitude,Longitude,Phone,Type,Status
1,"BANA001","Chamnaom","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","ចំណោម","010203","13.437565","102.934632","0716111197","Authorized Dealer/ Authorized Agent","In effect"
2,"BANA002","Paoy Paet","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","និមិត្ដ","011001","13.682498","102.564968","068664966","Authorized Dealer/ Authorized Agent","In effect"
3,"BANA003","Preah Punlea","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","ព្រះពន្លា","010607","13.59106","102.973797","0884844416","Authorized Dealer/ Authorized Agent","In effect"
4,"BANA004","Phsar Kandal","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","ផ្សារកណ្តាល","011003","13.646559","102.590885","0882344488","Authorized Dealer/ Authorized Agent","In effect"
5,"BANA005","Ou Ruessei","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","អូរឫស្សី","040506","13.69538","102.651888","0977842760","Authorized Dealer/ Authorized Agent","In effect"
6,"BANA006","Roluos","បន្ទាយមានជ័យ","Svay Chek","ស្វាយចេក","រលួស","010808","13.80385","102.96445","067253334","Authorized Dealer/ Authorized Agent","In effect"
7,"BANA007","Phnum Touch","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","ភ្នំតូច","010207","13.410764","103.017448","0973991168","Authorized Dealer/ Authorized Agent","In effect"
8,"BANA008","Paoy Char","បន្ទាយមានជ័យ","Phnum Srok","ភ្នំស្រុក","ប៉ោយចារ","010302","13.774137","103.313281","0889574697","Authorized Dealer/ Authorized Agent","In effect"
9,"BANA009","Chub Vari","បន្ទាយមានជ័យ","Preah Netr Preah","ព្រះនេត្រព្រះ","ជប់វារី","010402","13.623668","103.182027","0717333545","Authorized Dealer/ Authorized Agent","In effect"
10,"BANA010","Banteay Chhmar","បន្ទាយមានជ័យ","Thma Puok","ថ្មពួក","បន្ទាយឆ្មារ","010701","12.252597","105.977067","0976111877","Authorized Dealer/ Authorized Agent","In effect"
11,"BANA011","Kampong Svay","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","កំពង់ស្វាយ","010602","13.600802","102.967587","066824778","Authorized Dealer/ Authorized Agent","In effect"
12,"BANA012","Malai","បន្ទាយមានជ័យ","Malai","ម៉ាឡៃ","បឹងបេង","010901","13.566301","102.364078","0313339007","Authorized Dealer/ Authorized Agent","In effect"
13,"BANA013","Thma Puok","បន្ទាយមានជ័យ","Thma Puok","ថ្មពួក","បន្ទាយឆ្មារ","010701","13.941231","103.049339","0974331131","Authorized Dealer/ Authorized Agent","In effect"
14,"BANA014","Koub","បន្ទាយមានជ័យ","Ou Chrov","អូរជ្រៅ","កូប","010502","13.608353","102.764872","0973037787","Authorized Dealer/ Authorized Agent","In effect"
15,"BANA015","Changha","បន្ទាយមានជ័យ","Ou Chrov","អូរជ្រៅ","ចង្ហា","010501","13.647113","102.886313","068982047","Authorized Dealer/ Authorized Agent","In effect"
16,"BANA016","Phnum Lieb","បន្ទាយមានជ័យ","Preah Netr Preah","ព្រះនេត្រព្រះ","ភ្នំលៀប","010403","13.605432","103.312393","0885960140","Authorized Dealer/ Authorized Agent","In effect"
17,"BANA017","Punley","បន្ទាយមានជ័យ","Phnum Srok","ភ្នំស្រុក","ពន្លៃ","010303","13.76928","103.22615","0975662211","Authorized Dealer/ Authorized Agent","In effect"
18,"BANA018","Sla Kram","បន្ទាយមានជ័យ","Svay Chek","ស្វាយចេក","ស្លក្រាម","010803","13.832156","102.833294","0972078889","Authorized Dealer/ Authorized Agent","In effect"
19,"BANA020","Banteay Neang","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","បន្ទាយនាង","010201","13.515097","103.017095","067895868","Authorized Dealer/ Authorized Agent","In effect"
