No,Branch Code,Branch Store Name,Province (English),Province (Khmer),District (English),District (Khmer),Commune (English),Commune (Khmer),NCDD Commune Code,Latitude,Longitude,Nearby Places Count,Top 3-5 Nearby Places (EN | KH | Distance),English Search Keywords (Pipe Separated),Khmer Search Keywords (Pipe Separated)
1,"BANA001","Chamnaom","Banteay Meanchey","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","Chamnaom","ចំណោម","010203","13.437565","102.934632",5,"Chamnoam Market (ផ្សារចាមនូាម) - 0.62km ; Huyleng Soer (ផ្សារហុយលេង សូេរ) - 4.91km ; Soeu Market (ផ្សារសឿ) - 4.92km ; Rohat Toek Market (ផ្សាររូហាត តូេក) - 7.14km ; Phsar Phnom Thom (ផ្សារ ផនូម ធំ) - 8.62km","BANA001 | Chamnaom | Banteay Meanchey | Mongkol Borei | Chamnoam Market | Huyleng Soer | Soeu Market | Rohat Toek Market | Phsar Phnom Thom","បន្ទាយមានជ័យ | មង្គលបូរី | ផ្សារចាមនូាម | ផ្សារហុយលេង សូេរ | ផ្សារសឿ | ផ្សាររូហាត តូេក | ផ្សារ ផនូម ធំ"
2,"BANA002","Paoy Paet","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","Nimitt","និមិត្ដ","011001","13.682498","102.564968",5,"Big C Supermarket Poipet () - 1.34km ; Mms Market (ផ្សារmms) - 1.39km ; Big C Market (ផ្សារ big c) - 1.5km ; Cheayden Market (ផ្សារចោយដេន) - 2.15km ; Derm Puthrea Market (ផ្សារដេរម ពុថរោ) - 2.71km","BANA002 | Paoy Paet | Banteay Meanchey | Big C Supermarket Poipet | Mms Market | Big C Market | Cheayden Market | Derm Puthrea Market","បន្ទាយមានជ័យ | ប៉ោយប៉ែត | ផ្សារmms | ផ្សារ big c | ផ្សារចោយដេន | ផ្សារដេរម ពុថរោ"
3,"BANA003","Preah Punlea","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","Preah Ponlea","ព្រះពន្លា","010607","13.59106","102.973797",5,"Phalitphal Khmer (ផ្សារផាលីតផាល ខមេរ) - 0.18km ; Psar thom meanchey market () - 0.35km ; Thom Mean Chey Market (ផ្សារធំ មានជ័យ) - 0.37km ; Psar Serey Sophon () - 0.47km ; Serey Sophan Market (ផ្សារសិរីសោភ័ណ) - 0.52km","BANA003 | Preah Punlea | Banteay Meanchey | Serei Saophoan | Phalitphal Khmer | Psar thom meanchey market | Thom Mean Chey Market | Psar Serey Sophon | Serey Sophan Market","បន្ទាយមានជ័យ | សិរីសោភ័ណ | ផ្សារផាលីតផាល ខមេរ | ផ្សារធំ មានជ័យ | ផ្សារសិរីសោភ័ណ"
4,"BANA004","Phsar Kandal","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","Phsar Kandal","ផ្សារកណ្តាល","011003","13.646559","102.590885",5,"Kandal Market (ផ្សារកណ្ដាល) - 0.15km ; Phum Phsar Kandal (ភូមិផ្សារកណ្ដាល) - 0.38km ; Sank Market (ផ្សារសានក) - 0.5km ; Sangkat Phsar Kandal (សង្កាត់ផ្សារកណ្ដាល) - 0.74km ; Mundul4 (ផ្សារmundul4) - 1.79km","BANA004 | Phsar Kandal | Banteay Meanchey | Paoy Paet | Kandal Market | Phum Phsar Kandal | Sank Market | Sangkat Phsar Kandal | Mundul4","បន្ទាយមានជ័យ | ប៉ោយប៉ែត | ផ្សារកណ្ដាល | ភូមិផ្សារកណ្ដាល | ផ្សារសានក | សង្កាត់ផ្សារកណ្ដាល | ផ្សារmundul4"
5,"BANA005","Ou Ruessei","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","Ou Ruessei","អូរឫស្សី","040506","13.69538","102.651888",5,"O’Neang Market (ផ្សារូ’នោង) - 0.12km ; Sela Khmer Market (ផ្សារសេលា ខមេរ) - 3.09km ; Brotulden Oreussei Martket (ផ្សារប្រូតុលដេន អូរឫស្សី) - 3.31km ; Prey Kub Market (ផ្សារព្រេយ កុប) - 4.46km ; Samakum Market (ផ្សារសមាគម) - 7.54km","BANA005 | Ou Ruessei | Kampong Chhnang | Kampong Tralach | O’Neang Market | Sela Khmer Market | Brotulden Oreussei Martket | Prey Kub Market | Samakum Market","កំពង់ឆ្នាំង | កំពង់ត្រឡាច | ផ្សារូ’នោង | ផ្សារសេលា ខមេរ | ផ្សារប្រូតុលដេន អូរឫស្សី | ផ្សារព្រេយ កុប | ផ្សារសមាគម"
6,"BANA006","Roluos","Banteay Meanchey","បន្ទាយមានជ័យ","Svay Chek","ស្វាយចេក","Roluos","រលួស","010808","13.80385","102.96445",4,"Rolous Market (ផ្សាររូលអូស) - 0.14km ; Lucas Koet (ផ្សារលុកាស កូេត) - 0.76km ; Taben Market (ផ្សារតាបេន) - 3.84km ; Khav Lech Market (ផ្សារខាវ លេច) - 11.77km","BANA006 | Roluos | Banteay Meanchey | Svay Chek | Rolous Market | Lucas Koet | Taben Market | Khav Lech Market","បន្ទាយមានជ័យ | ស្វាយចេក | ផ្សាររូលអូស | ផ្សារលុកាស កូេត | ផ្សារតាបេន | ផ្សារខាវ លេច"
7,"BANA007","Phnum Touch","Banteay Meanchey","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","Phnum Touch","ភ្នំតូច","010207","13.410764","103.017448",5,"Phsa Thmey Phnom Toch (ផ្សារ ថ្មី ផនូម តូច) - 0.09km ; Psa Chas Phnom Tooch (ផ្សារចាស់ ផនូម តូច) - 0.32km ; Phsar Phnom Thom (ផ្សារ ផនូម ធំ) - 3.75km ; Boeng Pring Market (ផ្សារបឹង ព្រីង) - 5.76km ; Ou Snguot Tmey (ផ្សារអូរស្ងួតថ្មី) - 5.89km","BANA007 | Phnum Touch | Banteay Meanchey | Mongkol Borei | Phsa Thmey Phnom Toch | Psa Chas Phnom Tooch | Phsar Phnom Thom | Boeng Pring Market | Ou Snguot Tmey","បន្ទាយមានជ័យ | មង្គលបូរី | ផ្សារ ថ្មី ផនូម តូច | ផ្សារចាស់ ផនូម តូច | ផ្សារ ផនូម ធំ | ផ្សារបឹង ព្រីង | ផ្សារអូរស្ងួតថ្មី"
8,"BANA008","Paoy Char","Banteay Meanchey","បន្ទាយមានជ័យ","Phnum Srok","ភ្នំស្រុក","Poy Char","ប៉ោយចារ","010302","13.774137","103.313281",4,"Tro Peang Thmor Market (ផ្សារត្រូ ពោង ថមូរ) - 0.53km ; Huyleng Market Phnum Srok (ផ្សារហុយលេង ផនុម ស្រូក) - 4.32km ; Huy leng phnom srok market () - 4.34km ; Tavorng Market (ផ្សារតាវូរង) - 9.43km","BANA008 | Paoy Char | Banteay Meanchey | Phnum Srok | Tro Peang Thmor Market | Huyleng Market Phnum Srok | Huy leng phnom srok market | Tavorng Market","បន្ទាយមានជ័យ | ភ្នំស្រុក | ផ្សារត្រូ ពោង ថមូរ | ផ្សារហុយលេង ផនុម ស្រូក | ផ្សារតាវូរង"
9,"BANA009","Chub Vari","Banteay Meanchey","បន្ទាយមានជ័យ","Preah Netr Preah","ព្រះនេត្រព្រះ","Chob Vari","ជប់វារី","010402","13.623668","103.182027",4,"Chakrey Market (ផ្សារចាក្រេយ) - 0.04km ; Kror Muon Market (ផ្សារក្រូរ មុូន) - 3.29km ; Chhnuo Mean Cheay Big Market (ផ្សារឆនុូ មោន ចោយ បីហ្គ) - 8.77km ; Ruessey Market (ផ្សារឫស្សី) - 8.78km","BANA009 | Chub Vari | Banteay Meanchey | Preah Netr Preah | Chakrey Market | Kror Muon Market | Chhnuo Mean Cheay Big Market | Ruessey Market","បន្ទាយមានជ័យ | ព្រះនេត្រព្រះ | ផ្សារចាក្រេយ | ផ្សារក្រូរ មុូន | ផ្សារឆនុូ មោន ចោយ បីហ្គ | ផ្សារឫស្សី"
10,"BANA010","Banteay Chhmar","Banteay Meanchey","បន្ទាយមានជ័យ","Thma Puok","ថ្មពួក","Banteay Chhmar","បន្ទាយឆ្មារ","010701","12.252597","105.977067",4,"Chhloung Market (ផ្សារឆ្លូង) - 0.06km ; Kam Pongkor Market (ផ្សារកាម ពូងកូរ) - 2.84km ; Pongro Market (ផ្សារពង្រ) - 6.66km ; Chher Teal Plos Market (ផ្សារឈើទាល ព្លួស) - 7.84km","BANA010 | Banteay Chhmar | Banteay Meanchey | Thma Puok | Chhloung Market | Kam Pongkor Market | Pongro Market | Chher Teal Plos Market","បន្ទាយមានជ័យ | ថ្មពួក | ផ្សារឆ្លូង | ផ្សារកាម ពូងកូរ | ផ្សារពង្រ | ផ្សារឈើទាល ព្លួស"
