No,Branch Code,Branch Store Name,Province (English),Province (Khmer),District (English),District (Khmer),Commune (English),Commune (Khmer),NCDD Commune Code,Latitude,Longitude,English Keywords Count,English Search Keywords (Pipe Separated),Khmer Keywords Count,Khmer Search Keywords (Pipe Separated)
1,"BANA001","Chamnaom","Banteay Meanchey","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","Chamnaom","ចំណោម","010203","13.437565","102.934632",4,"BANA001 | Chamnaom | Mongkol Borei | 010203",13,"បន្ទាយមានជ័យ | មង្គលបូរី | ចំណោម | ផ្សារអូរស្ងួតថ្មី | ផ្សារអូរស្ងួតចាស់ | ផ្សារ ភ្នំ ធំ | ផ្សារ ថ្មី ភ្នំ តូច | ផ្សារចាស់ ភ្នំ តូច | ផ្សារហុយលេង សឿ | ផ្សាររូហាត ទឹក | ផ្សារល្វា | ផ្សារចំណោម | ផ្សារសឿ"
2,"BANA002","Paoy Paet","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","Nimitt","និមិត្ដ","011001","13.682498","102.564968",14,"BANA002 | Paoy Paet | 011001 | Phsar Kandal | big c market | Phsar Big C | poipet market | psar poipet border market | rong kluea border market | phum phsar kandal | Phumi Phsar Kandal | sangkat phsar kandal | Sangkeat Phsar Kandal | big c supermarket poipet",24,"បន្ទាយមានជ័យ | ប៉ោយប៉ែត | និមិត្ដ | ផ្សារកណ្ដាល | សង្កាត់់ផ្សារកណ្តាល | ផ្សារាកាក | ផ្សារត្រេយ | ផ្សារប្រូតុលដេន អូរឫស្សី | ផ្សារដើម ពុថរោ | ផ្សារូ’នាង | ផ្សារ big c | ផ្សារសមាគម ក្បាលស្ពាន 24 | ផ្សាររា | ផ្សារព្រេយ កុប | ផ្សារជ័យដេន | ផ្សារmms | ផ្សារសេលា ខ្មែរ | ផ្សារសមាគម | ផ្សារmundul4 | ផ្សារសានក | ផ្សារប៉ោយប៉ែត | ផ្សាររ៉ុងក្លឿ | ភូមិផ្សារកណ្ដាល | សង្កាត់់ផ្សារកណ្ដាល"
3,"BANA003","Preah Punlea","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","Preah Ponlea","ព្រះពន្លា","010607","13.59106","102.973797",9,"BANA003 | Preah Punlea | Serei Saophoan | 010607 | phsar mongkolborey thmey | phsar mongkolborey | tm night market | phsar mungokoloborey thmi | phsar mungokoloborey",20,"បន្ទាយមានជ័យ | សិរីសោភ័ណ | ព្រះពន្លា | ផ្សារសិរីសោភ័ណ | ផ្សារផលិតផល ខ្មែរ | ផ្សារធំ មានជ័យ | ផ្សាររាត្រី បន្ទាយមានជ័យ | ផ្សារហុយឡេង 1 | ផ្សារតាហ្វ | ផ្សារចំការគោ | ផ្សារអូរអំបិល | ផ្សារពង្រ | ផ្សារចេន ខមាវ | ផ្សារចាងហា | ផ្សារបន្ទាយនាង | ផ្សារ ចំការតាដក | ផ្សារ មង្គលបុរី ថ្មី | ផ្សារដើម ត្នោត | ផ្សារ មង្គលបុរី | ផ្សារទឹកថ្លា"
4,"BANA004","Phsar Kandal","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","Phsar Kandal","ផ្សារកណ្តាល","011003","13.646559","102.590885",14,"BANA004 | Phsar Kandal | Paoy Paet | 011003 | big c market | Phsar Big C | poipet market | psar poipet border market | rong kluea border market | phum phsar kandal | Phumi Phsar Kandal | sangkat phsar kandal | Sangkeat Phsar Kandal | big c supermarket poipet",25,"បន្ទាយមានជ័យ | ប៉ោយប៉ែត | ផ្សារកណ្តាល | ផ្សារកណ្ដាល | សង្កាត់់ផ្សារកណ្តាល | ផ្សារាកាក | ផ្សារត្រេយ | ផ្សារប្រូតុលដេន អូរឫស្សី | ផ្សារដើម ពុថរោ | ផ្សារូ’នាង | ផ្សារ big c | ផ្សារសមាគម ក្បាលស្ពាន 24 | ផ្សាររា | ផ្សារព្រេយ កុប | ផ្សារជ័យដេន | ផ្សារmms | ផ្សារកូនដំរី | ផ្សារសេលា ខ្មែរ | ផ្សារសមាគម | ផ្សារmundul4 | ផ្សារសានក | ផ្សារប៉ោយប៉ែត | ផ្សាររ៉ុងក្លឿ | ភូមិផ្សារកណ្ដាល | សង្កាត់់ផ្សារកណ្ដាល"
5,"BANA005","Ou Ruessei","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","Ou Ruessei","អូរឫស្សី","040506","13.69538","102.651888",15,"BANA005 | Ou Ruessei | Kampong Tralach | 040506 | Phsar Kandal | big c market | Phsar Big C | poipet market | psar poipet border market | rong kluea border market | phum phsar kandal | Phumi Phsar Kandal | sangkat phsar kandal | Sangkeat Phsar Kandal | big c supermarket poipet",25,"កំពង់ឆ្នាំង | កំពង់ត្រឡាច | អូរឫស្សី | ផ្សារកណ្ដាល | សង្កាត់់ផ្សារកណ្តាល | ផ្សារាកាក | ផ្សារត្រេយ | ផ្សារប្រូតុលដេន អូរឫស្សី | ផ្សារដើម ពុថរោ | ផ្សារូ’នាង | ផ្សារ big c | ផ្សារសមាគម ក្បាលស្ពាន 24 | ផ្សាររា | ផ្សារព្រេយ កុប | ផ្សារជ័យដេន | ផ្សារmms | ផ្សារកូនដំរី | ផ្សារសេលា ខ្មែរ | ផ្សារសមាគម | ផ្សារmundul4 | ផ្សារសានក | ផ្សារប៉ោយប៉ែត | ផ្សាររ៉ុងក្លឿ | ភូមិផ្សារកណ្ដាល | សង្កាត់់ផ្សារកណ្ដាល"
6,"BANA006","Roluos","Banteay Meanchey","បន្ទាយមានជ័យ","Svay Chek","ស្វាយចេក","Roluos","រលួស","010808","13.80385","102.96445",4,"BANA006 | Roluos | Svay Chek | 010808",7,"បន្ទាយមានជ័យ | ស្វាយចេក | រលួស | ផ្សាររលួស | ផ្សារតាបេន | ផ្សារខាវ លេច | ផ្សារលុកាស កូេត"
7,"BANA007","Phnum Touch","Banteay Meanchey","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","Phnum Touch","ភ្នំតូច","010207","13.410764","103.017448",4,"BANA007 | Phnum Touch | Mongkol Borei | 010207",16,"បន្ទាយមានជ័យ | មង្គលបូរី | ភ្នំតូច | ផ្សារអូរស្ងួតថ្មី | ផ្សារអូរអណ្ដូង | ផ្សារអូរស្ងួតចាស់ | ផ្សារ ភ្នំ ធំ | ផ្សារ ថ្មី ភ្នំ តូច | ផ្សារបឹង ព្រីង | ផ្សារចាស់ ភ្នំ តូច | ផ្សារហុយលេង សឿ | ផ្សាររូហាត ទឹក | ផ្សារបន្ទាយនាង | ផ្សារចំណោម | ផ្សារជ្រោយ សតី | ផ្សារសឿ"
8,"BANA008","Paoy Char","Banteay Meanchey","បន្ទាយមានជ័យ","Phnum Srok","ភ្នំស្រុក","Poy Char","ប៉ោយចារ","010302","13.774137","103.313281",4,"BANA008 | Paoy Char | Phnum Srok | 010302",6,"បន្ទាយមានជ័យ | ភ្នំស្រុក | ប៉ោយចារ | ផ្សារហុយលេង ភ្នំ ស្រូក | ផ្សារតាវូរង | ផ្សារត្រូ ពោង ថ្ម"
9,"BANA009","Chub Vari","Banteay Meanchey","បន្ទាយមានជ័យ","Preah Netr Preah","ព្រះនេត្រព្រះ","Chob Vari","ជប់វារី","010402","13.623668","103.182027",4,"BANA009 | Chub Vari | Preah Netr Preah | 010402",7,"បន្ទាយមានជ័យ | ព្រះនេត្រព្រះ | ជប់វារី | ផ្សារចាក្រេយ | ផ្សារឫស្សី | ផ្សារឆ្នួរ មាន ជ័យ ប៊ិក | ផ្សារក្រពើ មាន់"
10,"BANA010","Banteay Chhmar","Banteay Meanchey","បន្ទាយមានជ័យ","Thma Puok","ថ្មពួក","Banteay Chhmar","បន្ទាយឆ្មារ","010701","12.252597","105.977067",4,"BANA010 | Banteay Chhmar | Thma Puok | 010701",7,"បន្ទាយមានជ័យ | ថ្មពួក | បន្ទាយឆ្មារ | ផ្សារឈើទាល ព្លួស | ផ្សារពង្រ | ផ្សារឆ្លូង | ផ្សារកាម ពូងកូរ"
